Archivo,Algoritmo,Peso,Beneficio,Items,Tiempo (s),Estado
20 Items Cycle,bf,31394,39467,"0 2 4 6 8 10 12 14 16 18 ",5.23191,OK
22 Items Cycle,bf,25137,34286,"1 3 5 7 10 12 14 16 18 20 ",19.5693,OK
24 Items Cycle,bf,24166,31337,"0 2 4 6 9 12 15 17 19 22 ",79.8783,OK
26 Items Cycle,bf,27362,32900,"1 3 5 7 9 11 14 17 19 21 23 ",345.773,OK
28 Items Cycle,bf,29220,38338,"0 2 4 6 8 12 14 17 20 22 24 26 ",1520.37,OK
30 Items Cycle,bf,-1,-1,"",1800,TIMEOUT
32 Items Cycle,bf,-1,-1,"",1800,TIMEOUT
34 Items Cycle,bf,-1,-1,"",1800,TIMEOUT
36 Items Cycle,bf,-1,-1,"",1800,TIMEOUT
38 Items Cycle,bf,-1,-1,"",1800,TIMEOUT
40 Items Cycle,bf,-1,-1,"",1800,TIMEOUT







