Archivo,Algoritmo,Peso,Beneficio,Items,Tiempo (s),Estado
20 Items Star,bf,22987,31303,"1 2 7 9 10 11 14 15 16 18 ",4.37239,OK
22 Items Star,bf,29309,39986,"3 4 5 6 9 11 13 16 17 19 20 21 ",18.8223,OK
24 Items Star,bf,41005,56146,"0 4 5 6 7 8 9 11 13 16 18 ",85.1519,OK
26 Items Star,bf,28466,40234,"3 4 5 6 9 12 14 15 16 20 21 24 ",341.741,OK
28 Items Star,bf,29808,40508,"0 3 4 7 9 10 11 18 19 20 24 25 27 ",886.808,OK
30 Items Star,bf,-1,-1,"",1800,TIMEOUT
32 Items Star,bf,-1,-1,"",1800,TIMEOUT
34 Items Star,bf,-1,-1,"",1800,TIMEOUT
36 Items Star,bf,-1,-1,"",1800,TIMEOUT
38 Items Star,bf,-1,-1,"",1800,TIMEOUT
40 Items Star,bf,-1,-1,"",1800,TIMEOUT







