Archivo,Algoritmo,Peso,Beneficio,Items,Tiempo (s),Estado
costo_peso_correlaciona_n20_cycle.txt,bt,31394,39467,"0 2 4 6 8 10 12 14 16 18 ",0.181647,OK
costo_peso_correlaciona_n20_star.txt,bt,22987,31303,"1 2 7 9 10 11 14 15 16 18 ",1.24753,OK
costo_peso_correlaciona_n22_cycle.txt,bt,25137,34286,"1 3 5 7 10 12 14 16 18 20 ",0.437651,OK
costo_peso_correlaciona_n22_star.txt,bt,29309,39986,"3 4 5 6 9 11 13 16 17 19 20 21 ",6.37573,OK
costo_peso_correlaciona_n24_cycle.txt,bt,24166,31337,"0 2 4 6 9 12 15 17 19 22 ",1.15677,OK
costo_peso_correlaciona_n24_star.txt,bt,41005,56146,"0 4 5 6 7 8 9 11 13 16 18 ",36.1576,OK
costo_peso_correlaciona_n26_cycle.txt,bt,27362,32900,"1 3 5 7 9 11 14 17 19 21 23 ",3.26237,OK
costo_peso_correlaciona_n26_star.txt,bt,28466,40234,"3 4 5 6 9 12 14 15 16 20 21 24 ",104.476,OK
costo_peso_correlaciona_n28_cycle.txt,bt,29220,38338,"0 2 4 6 8 12 14 17 20 22 24 26 ",8.5162,OK
costo_peso_correlaciona_n28_star.txt,bt,29808,40508,"0 3 4 7 9 10 11 18 19 20 24 25 27 ",346.906,OK
costo_peso_correlaciona_n30_cycle.txt,bt,42762,51283,"0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 ",23.5888,OK
costo_peso_correlaciona_n30_star.txt,bt,-1,-1,"",900,TIMEOUT
costo_peso_correlaciona_n32_cycle.txt,bt,37967,50505,"0 2 4 7 9 11 13 16 18 20 22 24 26 28 30 ",63.6431,OK
costo_peso_correlaciona_n32_star.txt,bt,-1,-1,"",900,TIMEOUT
costo_peso_correlaciona_n34_cycle.txt,bt,47699,61515,"0 2 4 6 8 10 12 14 16 18 20 22 24 27 29 31 ",177.97,OK
costo_peso_correlaciona_n34_star.txt,bt,-1,-1,"",900,TIMEOUT
costo_peso_correlaciona_n36_cycle.txt,bt,35747,47965,"1 3 6 8 10 13 15 17 19 21 23 25 27 29 31 34 ",497.753,OK
costo_peso_correlaciona_n36_star.txt,bt,-1,-1,"",900,TIMEOUT
costo_peso_correlaciona_n38_cycle.txt,bt,-1,-1,"",900,TIMEOUT
costo_peso_correlaciona_n38_star.txt,bt,-1,-1,"",900,TIMEOUT
costo_peso_correlaciona_n40_cycle.txt,bt,-1,-1,"",900,TIMEOUT
costo_peso_correlaciona_n40_star.txt,bt,-1,-1,"",900,TIMEOUT.
