Archivo,Algoritmo,Peso,Beneficio,Items,Tiempo (s),Estado
20 Items Cycle,bt,31394,39467,"0 2 4 6 8 10 12 14 16 18 ",0.181647,OK
22 Items Cycle,bt,25137,34286,"1 3 5 7 10 12 14 16 18 20 ",0.437651,OK
24 Items Cycle,bt,24166,31337,"0 2 4 6 9 12 15 17 19 22 ",1.15677,OK
26 Items Cycle,bt,27362,32900,"1 3 5 7 9 11 14 17 19 21 23 ",3.26237,OK
28 Items Cycle,bt,29220,38338,"0 2 4 6 8 12 14 17 20 22 24 26 ",8.5162,OK
30 Items Cycle,bt,42762,51283,"0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 ",23.5888,OK
32 Items Cycle,bt,37967,50505,"0 2 4 7 9 11 13 16 18 20 22 24 26 28 30 ",63.6431,OK
34 Items Cycle,bt,47699,61515,"0 2 4 6 8 10 12 14 16 18 20 22 24 27 29 31 ",177.97,OK
36 Items Cycle,bt,35747,47965,"1 3 6 8 10 13 15 17 19 21 23 25 27 29 31 34 ",497.753,OK
38 Items Cycle,bt,-1,-1,"",900,TIMEOUT
40 Items Cycle,bt,-1,-1,"",900,TIMEOUT
