Archivo,Algoritmo,Peso,Beneficio,Items,Tiempo (s),Estado
20 Items Star,bt,22987,31303,"1 2 7 9 10 11 14 15 16 18 ",1.24753,OK
22 Items Star,bt,29309,39986,"3 4 5 6 9 11 13 16 17 19 20 21 ",6.37573,OK
24 Items Star,bt,41005,56146,"0 4 5 6 7 8 9 11 13 16 18 ",36.1576,OK
26 Items Star,bt,28466,40234,"3 4 5 6 9 12 14 15 16 20 21 24 ",104.476,OK
28 Items Star,bt,29808,40508,"0 3 4 7 9 10 11 18 19 20 24 25 27 ",346.906,OK
30 Items Star,bt,-1,-1,"",900,TIMEOUT
32 Items Star,bt,-1,-1,"",900,TIMEOUT
34 Items Star,bt,-1,-1,"",900,TIMEOUT
36 Items Star,bt,-1,-1,"",900,TIMEOUT
38 Items Star,bt,-1,-1,"",900,TIMEOUT
40 Items Star,bt,-1,-1,"",900,TIMEOUT
