Archivo,Algoritmo,Peso,Beneficio,Items,Tiempo (s),Estado
20 Items Cycle,bt,31394,39467,0 2 4 6 8 10 12 14 16 18,0.3195,OK
20 Items Star,bt,22987,31303,1 2 7 9 10 11 14 15 16 18,3.6111,OK
22 Items Cycle,bt,25137,34286,1 3 5 7 10 12 14 16 18 20,0.8149,OK
22 Items Star,bt,29309,39986,3 4 5 6 9 11 13 16 17 19 20 21,20.3734,OK
24 Items Cycle,bt,24166,31337,0 2 4 6 9 12 15 17 19 22,2.2427,OK
24 Items Star,bt,41005,56146,0 4 5 6 7 8 9 11 13 16 18,136.7622,OK
26 Items Cycle,bt,27362,32900,1 3 5 7 9 11 14 17 19 21 23,6.4978,OK
26 Items Star,bt,28466,40234,3 4 5 6 9 12 14 15 16 20 21 24,427.4488,OK
28 Items Cycle,bt,29220,38338,0 2 4 6 8 12 14 17 20 22 24 26,18.6712,OK
28 Items Star,bt,29808,40508,0 3 4 7 9 10 11 18 19 20 24 25 27,1414.6589,OK
30 Items Cycle,bt,42762,51283,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28,54.4137,OK
30 Items Star,bt,-1,-1,,1800,TIMEOUT
32 Items Cycle,bt,37967,50505,0 2 4 7 9 11 13 16 18 20 22 24 26 28 30,117.149,OK
32 Items Star,bt,-1,-1,,1800,TIMEOUT
34 Items Cycle,bt,47699,61515,0 2 4 6 8 10 12 14 16 18 20 22 24 27 29 31,538.6607,OK
34 Items Star,bt,-1,-1,,1800,TIMEOUT
36 Items Cycle,bt,35747,47965,1 3 6 8 10 13 15 17 19 21 23 25 27 29 31 34,821.7523,OK
36 Items Star,bt,-1,-1,,1800,TIMEOUT
38 Items Cycle,bt,-1,-1,,1800,TIMEOUT
38 Items Star,bt,-1,-1,,1800,TIMEOUT
40 Items Cycle,bt,-1,-1,,1800,TIMEOUT
40 Items Star,bt,-1,-1,,1800,TIMEOUT
