Archivo,Algoritmo,Peso,Beneficio,Items,Tiempo (s),Estado
20 Items Cycle,bt,31394,39467,0 2 4 6 8 10 12 14 16 18,0.3195,OK
22 Items Cycle,bt,25137,34286,1 3 5 7 10 12 14 16 18 20,0.8149,OK
24 Items Cycle,bt,24166,31337,0 2 4 6 9 12 15 17 19 22,2.2427,OK
26 Items Cycle,bt,27362,32900,1 3 5 7 9 11 14 17 19 21 23,6.4978,OK
28 Items Cycle,bt,29220,38338,0 2 4 6 8 12 14 17 20 22 24 26,18.6712,OK
30 Items Cycle,bt,42762,51283,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28,54.4137,OK
32 Items Cycle,bt,37967,50505,0 2 4 7 9 11 13 16 18 20 22 24 26 28 30,117.149,OK
34 Items Cycle,bt,47699,61515,0 2 4 6 8 10 12 14 16 18 20 22 24 27 29 31,538.6607,OK
36 Items Cycle,bt,-1,-1,,900,TIMEOUT
38 Items Cycle,bt,-1,-1,,900,TIMEOUT
40 Items Cycle,bt,-1,-1,,900,TIMEOUT
