Archivo,Algoritmo,Peso,Beneficio,Items,Tiempo (s),Estado
../instances/costo_peso_correlaciona_n20_cycle.txt,bt,31394,39467,0 2 4 6 8 10 12 14 16 18,0.3195,OK
../instances/costo_peso_correlaciona_n20_star.txt,bt,22987,31303,1 2 7 9 10 11 14 15 16 18,3.6111,OK
../instances/costo_peso_correlaciona_n22_cycle.txt,bt,25137,34286,1 3 5 7 10 12 14 16 18 20,0.8149,OK
../instances/costo_peso_correlaciona_n22_star.txt,bt,29309,39986,3 4 5 6 9 11 13 16 17 19 20 21,20.3734,OK
../instances/costo_peso_correlaciona_n24_cycle.txt,bt,24166,31337,0 2 4 6 9 12 15 17 19 22,2.2427,OK
../instances/costo_peso_correlaciona_n24_star.txt,bt,41005,56146,0 4 5 6 7 8 9 11 13 16 18,136.7622,OK
../instances/costo_peso_correlaciona_n26_cycle.txt,bt,27362,32900,1 3 5 7 9 11 14 17 19 21 23,6.4978,OK
../instances/costo_peso_correlaciona_n26_star.txt,bt,28466,40234,3 4 5 6 9 12 14 15 16 20 21 24,427.4488,OK
../instances/costo_peso_correlaciona_n28_cycle.txt,bt,29220,38338,0 2 4 6 8 12 14 17 20 22 24 26,18.6712,OK
../instances/costo_peso_correlaciona_n28_star.txt,bt,-1,-1,,899.9846,TIMEOUT
../instances/costo_peso_correlaciona_n30_cycle.txt,bt,42762,51283,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28,54.4137,OK
../instances/costo_peso_correlaciona_n30_star.txt,bt,-1,-1,,900,TIMEOUT
../instances/costo_peso_correlaciona_n32_cycle.txt,bt,37967,50505,0 2 4 7 9 11 13 16 18 20 22 24 26 28 30,117.149,OK
../instances/costo_peso_correlaciona_n32_star.txt,bt,-1,-1,,900,TIMEOUT
../instances/costo_peso_correlaciona_n34_cycle.txt,bt,-1,-1,,538.6607,OK
../instances/costo_peso_correlaciona_n34_star.txt,bt,-1,-1,,900,TIMEOUT
../instances/costo_peso_correlaciona_n36_cycle.txt,bt,-1,-1,,900,TIMEOUT
../instances/costo_peso_correlaciona_n36_star.txt,bt,-1,-1,,900,TIMEOUT
../instances/costo_peso_correlaciona_n38_cycle.txt,bt,-1,-1,,900,TIMEOUT
../instances/costo_peso_correlaciona_n38_star.txt,bt,-1,-1,,900,TIMEOUT
../instances/costo_peso_correlaciona_n40_cycle.txt,bt,-1,-1,,900,TIMEOUT
../instances/costo_peso_correlaciona_n40_star.txt,bt,-1,-1,,900,TIMEOUT




