Archivo,Algoritmo,Peso,Beneficio,Items,Tiempo (s),Estado
../instances/costo_peso_correlaciona_n20_cycle.txt,bf,31394,39467,"0 2 4 6 8 10 12 14 16 18 ",5.23191,OK
../instances/costo_peso_correlaciona_n20_star.txt,bf,22987,31303,"1 2 7 9 10 11 14 15 16 18 ",4.37239,OK
../instances/costo_peso_correlaciona_n22_cycle.txt,bf,25137,34286,"1 3 5 7 10 12 14 16 18 20 ",19.5693,OK
../instances/costo_peso_correlaciona_n22_star.txt,bf,29309,39986,"3 4 5 6 9 11 13 16 17 19 20 21 ",18.8223,OK
../instances/costo_peso_correlaciona_n24_cycle.txt,bf,24166,31337,"0 2 4 6 9 12 15 17 19 22 ",79.8783,OK
../instances/costo_peso_correlaciona_n24_star.txt,bf,41005,56146,"0 4 5 6 7 8 9 11 13 16 18 ",85.1519,OK
../instances/costo_peso_correlaciona_n26_cycle.txt,bf,27362,32900,"1 3 5 7 9 11 14 17 19 21 23 ",345.773,OK
../instances/costo_peso_correlaciona_n26_star.txt,bf,28466,40234,"3 4 5 6 9 12 14 15 16 20 21 24 ",341.741,OK
../instances/costo_peso_correlaciona_n28_cycle.txt,bf,-1,-1,"",900,TIMEOUT
../instances/costo_peso_correlaciona_n28_star.txt,bf,-1,-1,"",900,TIMEOUT
../instances/costo_peso_correlaciona_n30_cycle.txt,bf,-1,-1,"",900,TIMEOUT
../instances/costo_peso_correlaciona_n30_star.txt,bf,-1,-1,"",900,TIMEOUT
../instances/costo_peso_correlaciona_n32_cycle.txt,bf,-1,-1,"",900,TIMEOUT
../instances/costo_peso_correlaciona_n32_star.txt,bf,-1,-1,"",900,TIMEOUT
../instances/costo_peso_correlaciona_n34_cycle.txt,bf,-1,-1,"",900,TIMEOUT
../instances/costo_peso_correlaciona_n34_star.txt,bf,-1,-1,"",900,TIMEOUT
../instances/costo_peso_correlaciona_n36_cycle.txt,bf,-1,-1,"",900,TIMEOUT
../instances/costo_peso_correlaciona_n36_star.txt,bf,-1,-1,"",900,TIMEOUT
../instances/costo_peso_correlaciona_n38_cycle.txt,bf,-1,-1,"",900,TIMEOUT
../instances/costo_peso_correlaciona_n38_star.txt,bf,-1,-1,"",900,TIMEOUT
../instances/costo_peso_correlaciona_n40_cycle.txt,bf,-1,-1,"",900,TIMEOUT
../instances/costo_peso_correlaciona_n40_star.txt,bf,-1,-1,"",900,TIMEOUT







